LDCT_PSNR,Enhanced_PSNR,Bilateral_Lung_PSNR,NLM_Lung_PSNR,BM3D_Lung_PSNR,LDCT_SSIM,Enhanced_SSIM,Bilateral_Lung_SSIM,NLM_Lung_SSIM,BM3D_Lung_SSIM
27.571186,26.837473,26.918564,27.561775,27.626474,0.9359842220827022,0.9561435456708917,0.9601781035958865,0.9595581922530799,0.9668907111273443
27.701342,26.928053,27.078384,27.68428,27.78857,0.9318709599228727,0.9512551964988233,0.9559497066739274,0.9546473188962669,0.9632691922148651
27.574394,27.007925,27.152897,27.630178,27.78219,0.928992246701308,0.9507368354313311,0.9557377266478304,0.9535297657099313,0.9624474163206361
27.689213,27.389214,27.592495,28.074245,28.263882,0.9318374834563813,0.9531928800735177,0.958486966984434,0.9560019674158332,0.965283362124678
27.72165,27.558197,27.808788,28.144714,28.411194,0.9278921617213081,0.9510849438033031,0.9572917832856164,0.9546920603371651,0.9640355944780088
27.650415,27.546957,27.793715,28.11879,28.34887,0.9311865506828365,0.954465771571695,0.9604661199927775,0.9573911456334034,0.966420980468205
27.690556,27.653194,27.958504,28.244116,28.507507,0.9334301168402294,0.9567267418516016,0.9621796177930021,0.9588932207948636,0.9678850181235024
27.78463,27.65938,27.953728,28.247663,28.524307,0.9360249647775358,0.9567640522256382,0.9628898307884084,0.9598296347837744,0.9685552057730438
27.633781,27.588676,27.832048,28.241339,28.440065,0.9315669440890849,0.9549468509457945,0.960860239260565,0.9581931491217818,0.9666694682663285
27.701405,27.511074,27.747986,28.153437,28.328382,0.9338002954577319,0.9550277723426085,0.9605457137917276,0.9582896126901637,0.9658995626263848
27.839813,27.765913,28.02727,28.291458,28.640516,0.932268770166067,0.9540537918097178,0.9596686261411871,0.9564518906140239,0.9656757627296931
27.841301,27.804184,28.108643,28.468105,28.728535,0.9342004202772914,0.9554200317296491,0.9612985228135782,0.9586241322890999,0.9669377801255099
28.029884,28.230486,28.446144,28.713303,29.167675,0.9381883975241374,0.958775433337034,0.9647221011799241,0.9623133922442586,0.9696348376685505
27.916225,28.072645,28.152525,28.58533,28.96679,0.941499335515192,0.9611899802477649,0.9660025605973694,0.9640801604815354,0.9708105159487549
28.167925,28.165535,28.280396,28.43933,29.069843,0.9417835464413696,0.9601698161048225,0.9647857027297437,0.9615947845527956,0.9703190143365814
28.204494,28.164425,28.200247,28.373135,29.093536,0.9442790657419575,0.9616292566214375,0.9656352080393165,0.9625783888389884,0.9715821912020136
28.101751,27.871483,27.881489,28.181515,28.739227,0.9470667361595755,0.9636597044302798,0.9667908863952899,0.9644915642825772,0.9725015614692807
28.005592,27.617495,27.67314,28.000486,28.52874,0.9467750261976046,0.9629459605867566,0.9664255727518579,0.9641563537706204,0.9725806354852714
28.16757,28.03507,28.14205,28.37688,28.961456,0.9557138018895673,0.9695103558315791,0.9724511241236482,0.9702705135837422,0.9772764692260597
28.146309,27.983027,28.12146,28.340687,28.845816,0.9526070315921547,0.9668104699408124,0.9697205920344516,0.9665661116510503,0.9745480173906993
28.077547,27.627804,27.730322,27.940327,28.506264,0.9440671114395963,0.960068894142255,0.9629947248009442,0.9598106664673343,0.9698365019949895
28.100399,27.507753,27.529219,27.797785,28.368492,0.9456559182358512,0.9611701806087787,0.9644653199234425,0.9620564714828749,0.9708739234912594
27.934212,27.447765,27.49445,27.852049,28.321884,0.9429459996471654,0.9594229808790654,0.9635276462514994,0.9611388660598831,0.9698380750191733
28.069672,27.509947,27.587118,27.937134,28.413961,0.9548287441628595,0.9676961023052907,0.9713033361652272,0.9693158025436759,0.9761990107689389
28.120502,27.59239,27.68709,27.865961,28.449787,0.9500507214877398,0.9647908727343425,0.9672076283444271,0.964926894834894,0.9736434940636511
28.090672,27.59778,27.792511,27.90211,28.39555,0.9463118450315813,0.9623375989264318,0.9657603604273962,0.9631119417071599,0.9715188934179311
28.088104,27.689793,27.883923,28.05993,28.517796,0.942777421496959,0.9605659741283424,0.9641390067366135,0.9609713472506719,0.9700104879870773
27.996607,27.534504,27.711317,28.00851,28.37833,0.9411955585867348,0.9593923402604957,0.9632262053758289,0.9607368311158667,0.9694790561191851
28.028051,27.493551,27.586573,27.838593,28.334717,0.9400952492804024,0.9589716845727552,0.9624012450974118,0.9594029266025864,0.9691871820614036
27.964336,27.07073,27.062662,27.495956,27.857433,0.9440256879794612,0.9600429269917671,0.9631823551050844,0.9609958113504614,0.9695155329781557
27.978685,27.080788,27.061338,27.403154,27.84155,0.9443804662448909,0.9600163243786538,0.9629189459374283,0.9605993093459554,0.9697033905544985
28.022882,27.237722,27.309818,27.629768,28.077852,0.9450203869723158,0.9602646470092234,0.9642127556260304,0.961585731769067,0.9699573645372845
28.036814,27.181082,27.109509,27.497475,27.960901,0.9497831701240292,0.9637480358272908,0.9656017664805988,0.9634282926051855,0.9718784405800768
27.913416,27.032461,26.935345,27.451485,27.818405,0.954493189183798,0.9658460499629653,0.9670873813148497,0.9654345573710269,0.9728280569016016
27.947865,26.80433,26.637093,27.073803,27.50504,0.9511501970028207,0.9635822875892707,0.964400944601622,0.9623970354299219,0.9709343225952071
27.90468,26.911015,26.805296,27.160221,27.61728,0.9568848461176639,0.9676288458052346,0.9685674660109276,0.9659888649300826,0.9739778097854268
27.938032,26.797266,26.67989,26.873846,27.449055,0.9616294303813293,0.9711567753806233,0.9719801789360644,0.9696623783875038,0.9772700563810662
27.928097,26.729523,26.513866,26.837824,27.416,0.9638656189169601,0.9716137377829979,0.9726441490291198,0.9712284991944004,0.977736210003267
27.869572,26.420078,26.130909,26.627466,27.127625,0.9764576138368275,0.9804085674302606,0.9803517947974794,0.9796357778996002,0.9842612171507883
27.920267,26.887856,26.669453,27.061098,27.653908,0.9698698603589999,0.9765426128102607,0.9767798066775516,0.975426987888315,0.9816202238371688
27.852335,26.779833,26.611446,26.965124,27.499287,0.9746909017534903,0.980017552503539,0.9801848050148758,0.9792221840791417,0.9840296566931934
28.017609,27.207249,27.324667,27.397255,27.96666,0.9530640572075125,0.9642364500824754,0.9665858981578157,0.9635812418037484,0.9722972394298701
28.019611,27.421818,27.614756,27.694786,28.152824,0.9634299153559914,0.9733562401188246,0.9755367401185733,0.9731435584878266,0.9795356166820629
28.034441,27.421303,27.524326,27.71927,28.16058,0.9692197707148709,0.9767443368907425,0.9779818346308407,0.9757925073629549,0.9814511994204761
28.035143,27.466936,27.680737,27.82749,28.29421,0.9588346502120243,0.9693591376797859,0.9715871453565972,0.9691502777889105,0.976440253896994
27.989264,27.546797,27.663189,27.734926,28.34179,0.9555719563155138,0.9678444442427981,0.9689018247238418,0.9664530171995359,0.9745154258901282
27.993557,27.575533,27.81194,28.013422,28.40062,0.963039380868481,0.9729456097739861,0.974642940667287,0.9728091600303151,0.978828664720254
28.068417,27.588137,27.740734,27.827843,28.34261,0.9605396473190568,0.9722042361664851,0.9748376080005857,0.9725163365578371,0.9789574053549673
27.996523,27.672104,27.676262,27.776512,28.451027,0.9581855856287004,0.9712752533523124,0.9735376489790211,0.9714032313935219,0.9780791372257898
27.95502,27.506153,27.6071,27.887115,28.280628,0.9630230425121264,0.9740343866752972,0.9762143349915057,0.9742595911415123,0.9799314797094882
27.907394,26.87138,26.853752,27.198828,27.634754,0.9699161487908485,0.9772435951915462,0.9783642716550776,0.9773705242786285,0.9823405430236403
27.903866,26.332758,26.27184,26.635052,26.998022,0.971591457571332,0.9774107795790862,0.9783617175190389,0.9777936042049162,0.9822154483018213
27.854622,26.6143,26.616547,26.932972,27.399672,0.9741874284811001,0.9787726251812042,0.9799868540412079,0.9787000263426321,0.9836272949122361
28.078945,27.285059,27.22033,27.236996,27.998514,0.9599348893710512,0.9691483053388378,0.9704124548376769,0.9673531329615661,0.9759588513353572
27.987421,27.286182,27.189335,27.26838,28.070715,0.9576224507501356,0.9681522563079142,0.9686393498505239,0.965736693873119,0.975216770346217
28.028332,26.987322,26.840467,27.064247,27.721807,0.9663014419762829,0.9728569600793815,0.972731216143052,0.9712301443277939,0.9782568556667408
27.934893,26.844566,26.68587,27.105492,27.607002,0.9738226885741905,0.9789032310370338,0.9786641638428509,0.97757109684329,0.9827963544102117
27.938904,27.08849,27.028221,27.308456,27.822655,0.9725068458381207,0.9785033676610758,0.9788872807937539,0.9778182548520774,0.9826965650028825
28.088516,27.482899,27.599184,27.557041,28.107689,0.9569607587084906,0.9697030278877774,0.9712664492112214,0.968940561094183,0.9760419292041294
27.985538,27.268583,27.338707,27.487791,28.050583,0.9678110097058578,0.9756921325002023,0.9768145954231063,0.9751364330462761,0.9812755531094709
27.872921,26.750002,26.849108,27.048414,27.51712,0.9687754434805019,0.9756295841201381,0.9761222422487655,0.9745259293860786,0.980923508467754
27.938034,27.011139,27.02552,27.296019,27.732944,0.9549807485330191,0.967185405672314,0.9689517485611605,0.9672815964101631,0.9745587408781833
27.963966,26.844414,26.812687,26.981833,27.532291,0.9588596323302597,0.9697062997385623,0.9706660392009823,0.968495426363097,0.9764558700172588
27.968996,26.86914,26.896332,27.050226,27.575636,0.9591313518127375,0.9682718545028963,0.9692092801708647,0.9671940792267397,0.9749966307952608
27.941078,26.801641,26.954496,27.085674,27.590578,0.9541781822249144,0.9632794211072647,0.9651510997825703,0.9627307449385143,0.9713535571728419
27.961332,26.852695,26.86182,27.068842,27.585314,0.9493765920853644,0.9607109021654145,0.9621011872587879,0.9592632686407029,0.9692627504373578
27.920246,26.843653,26.915398,27.192482,27.59673,0.9468874367465746,0.9585521800796248,0.960562760248223,0.9581522397947463,0.967674061681024
27.97826,26.893911,26.776573,27.063387,27.616835,0.9488522178730326,0.9612387318108413,0.9624692036394504,0.9604420476556863,0.9696012084480753
27.977335,26.882282,26.865198,27.058031,27.648428,0.9509713135462515,0.9632630143374545,0.96481872576695,0.9628725742705925,0.9717897720204028
27.975407,26.936405,26.767475,27.110193,27.690145,0.9478783666674105,0.9615948067196959,0.9638441830266352,0.9618290842285572,0.9706659325241933
27.987535,26.987694,26.860678,27.240465,27.73806,0.9467683209847467,0.9629615268848011,0.9653062944487045,0.9636195512007553,0.9718746503198402
27.926208,26.708181,26.613487,27.086306,27.463558,0.9453510616077271,0.960011344248567,0.962429903458395,0.9612873652931105,0.9693337209433912
28.085672,27.001965,26.746765,27.16904,27.753948,0.9484349408981729,0.9625947750457304,0.9648214986809914,0.963736404425862,0.9714318403115472
28.000095,26.879818,26.81393,27.104973,27.608738,0.9466238912002851,0.9621841972590351,0.9654462748714084,0.9642459783522612,0.9716381133504783
28.101204,27.057163,27.04173,27.248785,27.774078,0.9469200038300354,0.9626979148505564,0.9662098175836278,0.9645062678461884,0.9718525123343675
27.887344,26.830023,26.865044,27.191813,27.524548,0.9449014862575249,0.9619414309313337,0.9650806420362208,0.9634862852951287,0.971046596785015
28.073576,26.99127,26.986801,27.249601,27.724964,0.9460307289518506,0.9611260521512743,0.9635744149049646,0.9617120415711963,0.970148631352512
27.987623,26.861507,26.876104,27.041819,27.58167,0.9466046067818267,0.9603063146598125,0.9622585286758016,0.9602446703455876,0.9695378638655318
27.991476,26.881107,26.844265,27.10117,27.604218,0.9468626981146959,0.9611080367454571,0.9632726664128355,0.9624014618711972,0.9703605241309843
28.129751,26.881554,26.772907,26.98599,27.594772,0.9488494121089733,0.9620983625430384,0.9637640730435486,0.9623673947102538,0.9710020610055533
27.971838,26.78232,26.704132,26.86598,27.462656,0.9461160770287332,0.9594799360972526,0.960908202315693,0.9584989124389118,0.9684510158668551
27.957073,26.932213,26.917542,27.05539,27.688114,0.9457560503287408,0.9578807592740816,0.9597859398675281,0.9564803767544041,0.9674331938925333
27.871391,26.926407,26.932041,27.06975,27.675026,0.944768429223738,0.9576454710918932,0.9590178242618764,0.9562119351582589,0.9669443294721087
27.910994,26.809109,26.830303,27.01239,27.566135,0.9461224877156028,0.9580112006285667,0.9599682511576587,0.9577027278006399,0.9676731488051227
27.942675,26.961826,26.996641,27.195797,27.725641,0.9459898233485631,0.9597175577741134,0.9615807417137162,0.958815496551203,0.9691371614685463
28.007185,27.337261,27.29367,27.445642,28.110773,0.9479322327163061,0.9618903640799379,0.9641220744086297,0.9613583314355053,0.970821026670054
27.914991,27.073406,27.10411,27.38268,27.855148,0.9472422092511874,0.9616529652702032,0.9643655326802317,0.9624270918324843,0.9707516589000602
27.866838,26.866083,26.80704,27.139568,27.64505,0.9486810642826718,0.963171390194155,0.9655042428588347,0.9638825136631046,0.9719217175226684
