PSNR_LDCT,PSNR_ENH,SSIM_LDCT,SSIM_ENH
30.177776,27.147877,0.9743609205651921,0.9740009086801674
29.979542,27.024208,0.9736296656638443,0.9737534010162286
29.997425,26.992607,0.9733159487727757,0.9732891326080318
29.97855,26.3015,0.9767171782611307,0.9746078252343059
29.966051,26.470243,0.9778038738357855,0.9763434453623069
30.023012,26.563692,0.9762039668639804,0.9754873445159565
30.100477,26.779997,0.9754914113046625,0.975286270873
30.016973,26.629444,0.9770377040971853,0.9765816038090702
30.036541,26.701382,0.9740388212570505,0.9734462102652705
29.864466,26.429771,0.9798323135132125,0.97999497166754
29.819834,26.067123,0.9843906940323351,0.9835592403626822
29.888258,26.541351,0.9805069556021105,0.9799997891367825
29.965345,26.618757,0.9757090717738934,0.9755636540034975
29.815008,26.268791,0.9763329755029767,0.9753381096487889
29.933912,26.28794,0.9751994002517733,0.9750527612109892
30.113775,26.72092,0.9748685976310572,0.9739240211676466
30.126438,26.833885,0.9743094772553706,0.9741257775764828
29.897884,26.55488,0.9733245002709681,0.9737307400447883
30.052284,26.778015,0.972943140165215,0.9729325848987349
30.115707,26.31962,0.9780960708815145,0.9765363229640993
30.120007,26.606056,0.9749466058460272,0.9748499402522466
30.08287,26.85253,0.9733107120154143,0.9735964373488342
30.151737,26.921753,0.9743774939755558,0.9740192195136282
30.137287,26.893784,0.9742031697271787,0.9744454660288067
30.24641,27.068413,0.972101156301882,0.9725459277709353
30.145702,26.957853,0.9707653777688012,0.9718409496665497
30.172665,26.820345,0.97413548530063,0.974328452233963
30.244581,26.956734,0.9740331358456275,0.9743390671804562
30.265926,27.117561,0.9721428313725553,0.9727828440614387
30.248415,27.185932,0.9737269083898248,0.9732448195880563
30.321905,27.199194,0.974081270518812,0.9746067730478306
30.273975,27.563564,0.9738423683627035,0.9766229362028548
30.319738,27.643192,0.9736004835274177,0.9749951773602346
30.281885,27.393208,0.9735112639605905,0.9744147280730674
30.295464,27.353542,0.9730169465971529,0.9743267275565513
30.375305,27.662292,0.9719530960646822,0.9737085909831404
30.45089,27.56091,0.9709475666051065,0.9724536465219928
30.44283,27.62741,0.9711131732797091,0.9721151953981112
30.515808,27.824818,0.9717043298187288,0.9723638726121349
30.442402,28.3465,0.9698744687621037,0.9721529203791665
30.548555,28.489216,0.9688217260307698,0.972790581604449
30.352373,26.944077,0.9780969257589601,0.9798872786360896
30.486681,27.068626,0.9848437911050053,0.98599632622127
30.424213,26.853794,0.9879129282629304,0.988278752147372
29.563751,24.976349,0.9894717707994892,0.9865232364479758
29.355663,25.144028,0.9862334412700865,0.9840738934990919
29.198896,25.286327,0.9864611129390481,0.9856108542066191
29.216621,25.349455,0.9847719470192744,0.9831203672716613
29.242792,25.393064,0.984838944944934,0.9824361567509736
29.419374,25.498726,0.9863651328512948,0.984477517787182
29.255383,25.44982,0.9816651562869779,0.9792851520453644
29.535334,25.377691,0.9869935697625208,0.9835419891821656
29.423832,25.247953,0.9863646262768812,0.9831942942213876
29.58946,25.10078,0.9891927259370493,0.9861301512570672
29.397266,25.396145,0.9861973324872163,0.9828470459407197
29.488785,25.516512,0.9841314483744223,0.9803964979368692
29.568775,25.368492,0.9841698172872907,0.9796249162312668
29.512789,25.323458,0.9847948501515201,0.9808347340873472
29.503075,25.398943,0.985115532162029,0.9819097745244695
29.359127,25.48531,0.9863837974618559,0.9844370508327969
29.522726,25.745916,0.9852665959459451,0.9828898081769467
29.442127,25.853722,0.9812432787055326,0.9788922947988169
29.632387,25.61446,0.9869076523025822,0.9838724867347277
29.659927,25.90244,0.9823564407126946,0.9788117948080589
29.605198,25.89039,0.9799177225837287,0.97604475908902
29.666348,25.926826,0.9862832254857986,0.9829405930784464
29.716763,25.88179,0.9812156462157823,0.9773658060666364
29.640005,25.814724,0.9812144250345556,0.9771929949550653
29.740942,25.839603,0.9823604448869698,0.9776660567109507
29.664782,25.671968,0.983000256385617,0.9780069535890932
29.636442,25.410435,0.9817204296682716,0.976567929449543
29.42581,25.49512,0.9822016447972479,0.9770823688090903
29.296894,25.30357,0.9812923403696793,0.9772956606149827
29.226997,25.320875,0.9808906200069579,0.977097440004711
29.282839,25.579075,0.9791244076519716,0.9761744034453226
29.44099,25.609053,0.9800696924558575,0.9763900811332298
29.545296,26.01973,0.9796076301699416,0.9763491227965605
29.59616,25.82412,0.9785866103873732,0.9752228658501254
29.578613,25.758266,0.9802941496566814,0.9763814439098273
29.427376,25.645634,0.9785979010605773,0.9744336405226659
29.426193,25.570345,0.9784018793268097,0.9741047912000587
29.414522,25.529999,0.9799757287114363,0.9758210652335789
29.384253,25.487413,0.9802868641526143,0.9757670794360884
29.357927,25.24623,0.9818456154277961,0.9775706750866112
29.488266,25.44424,0.9821453999675177,0.977192347571674
29.457329,25.526505,0.9829482662645919,0.9781914500027528
29.568872,25.58691,0.981448036803998,0.9772506385408897
29.53341,25.681677,0.9822558595216813,0.977881259155667
29.60325,25.85574,0.981000745717633,0.9768629395986927
29.515512,25.78271,0.9818271031645499,0.9785000507028448
29.552643,25.627726,0.9834968052077792,0.980708256669416
29.689167,25.969051,0.9844529462190252,0.9823640149499523
29.633175,25.817968,0.9836758072559668,0.9801493394275955
29.576628,25.646606,0.9851139306354663,0.9814953349433969
29.706213,25.855227,0.985456495130042,0.9819992071526549
29.640293,25.663359,0.9835475091820627,0.9800456416088649
29.543087,25.539827,0.9856771244416412,0.9820514605746887
29.70856,25.735348,0.9877482102488236,0.9852386100154874
29.765068,25.877407,0.9871531175196178,0.9845232987306234
29.809343,26.262781,0.9893142091492341,0.9881144730166823
29.642464,26.098057,0.9876326287776699,0.9870203152023876
29.728321,25.994608,0.985746908117957,0.9844022564718947
29.778717,26.239147,0.9888095413158251,0.9876225102250469
29.745777,26.580885,0.9885982821576736,0.9880203773129212
29.8194,26.346197,0.9871267305944049,0.9858244062162606
29.756828,25.710352,0.984116569648312,0.981867575775022
29.696571,25.567142,0.9831520560027429,0.9803192379096939
29.646385,25.729086,0.9818143072083263,0.9786360574049207
29.701385,25.836483,0.9829958383166847,0.98033401397088
29.728615,25.632982,0.9821680393048158,0.9792850698776555
29.615799,25.457481,0.9850035197798312,0.9822948549688514
