LDCT_PSNR,Enhanced_PSNR,Region_Adaptive_PSNR,LDCT_SSIM,Enhanced_SSIM,Region_Adaptive_SSIM
27.391615,24.933128,24.943695,0.979465718717398,0.9800542068719318,0.9802057219018524
27.558687,24.832455,24.835888,0.9800618569296052,0.9787216281251233,0.978461180503742
27.518417,24.626232,24.538284,0.984472292821471,0.9833478333204754,0.9830086596579486
27.580402,24.781273,24.791002,0.9840609595643058,0.9828700406998934,0.9829680958789275
27.538723,24.71052,24.677782,0.9841892681794155,0.9830739380072642,0.9828981545085691
27.34456,24.774618,24.826315,0.9794042718657909,0.9791754405623638,0.9794990735503879
27.233387,24.811531,24.939802,0.9779256557790161,0.9779527817846786,0.9789132542433168
27.341301,24.737843,24.914045,0.9814888163317962,0.980503650282902,0.981539758340426
27.326012,24.756313,24.934467,0.9796535077648173,0.9792714916033107,0.9805274489234812
27.557,25.076218,25.235178,0.9841685164341233,0.9839555865148171,0.9845505589833017
27.195837,25.231829,25.509356,0.9779708564717843,0.980203381172301,0.9817817816385449
27.365845,25.28413,25.453985,0.982001469931253,0.9832537998748478,0.9842138802788809
27.45473,24.977577,25.12939,0.9827522364445307,0.9826676931287387,0.9831590467434843
27.578793,25.400707,25.54441,0.9765501003156319,0.976137467359395,0.9766479137005756
27.241518,25.089897,25.246082,0.9755208658258722,0.9757517001796965,0.9763628437833697
27.388542,25.304033,25.536358,0.9719726790911237,0.973145847259999,0.9743593557644198
27.537643,25.257273,25.454388,0.9750310837100185,0.9753546817383736,0.976012311487455
27.602364,25.285376,25.458223,0.9768948424260355,0.9767491858102256,0.977692694284286
27.502373,24.926926,25.081867,0.9822946600084617,0.9811163261850203,0.9814682910910391
27.487583,24.95865,25.090332,0.9754411169690247,0.9749795986753627,0.9754505673653064
27.390068,24.86863,25.003792,0.9770746286331357,0.97610812180233,0.9765099067650735
27.199791,24.801495,25.055756,0.9738054135305501,0.9725314555498944,0.9736006010921646
27.063093,24.651049,24.958694,0.9739901948563718,0.9738741689377564,0.9749085454203067
27.131853,24.81631,25.10235,0.9757031359041655,0.9759850940624621,0.9773687565789342
27.199474,24.976952,25.303745,0.971684477467429,0.9730983628381595,0.9747862844001618
27.312944,25.204046,25.558838,0.9730090011026985,0.9737872582218046,0.9754693261090833
27.401201,25.255466,25.621567,0.9724017514087032,0.9729836463318466,0.9747248710001881
27.365398,25.220818,25.549057,0.9706989386824894,0.9724898874736045,0.9740040378441066
27.413906,25.035496,25.364637,0.9727631247612428,0.9731218897789055,0.9746265409725543
27.23526,24.82254,25.147207,0.9722384780372241,0.9723699404051189,0.9737956774795826
27.249573,24.863937,25.15692,0.9713943244469732,0.9717192045080071,0.9733217697430163
